Obteniendo ofertas de servicios...
OK
ID                                                                   Nombre                                                     Proveedor                           Etiquetas   
3c1472b0-6b8b-11e9-a537-057f51269323                                 mass-data-migration                                        IBM                                 eu_access,ibm_created,rc_compatible,storage   
14bd30e0-8921-11e9-a2c5-13fceaf553c0                                 mdm-oc                                                     IBM                                 ai,analytics,apidocs_enabled,ibm_created,rc_compatible,watson   
6a7f4e38-f218-48ef-9dd2-df408747568e                                 messagehub                                                 IBM                                 apidocs_enabled,eu_access,financial services,fs cloud,fs_ready,fss,gc_migrate,hipaa,ibm_created,ibm_dedicated_public,ibm_release,integration,rc_compatible,service_endpoint_supported   
ComposeRabbitMQ-P                                                    compose-for-rabbitmq                                       IBM                                 big_data,data_management,database,eu_access,gc_migrate,ibm_created,ibm_dedicated_public   
messages-for-rabbitmq                                                messages-for-rabbitmq                                      IBM                                 data_management,database,disable_reclamation,eu_access,hipaa,ibm_created,integration,rc_compatible,service_endpoint_supported   
757254b0-a9a0-11ea-9ff6-17a22eb543c5                                 migrationtool-from-wanclds                                 Wanclouds                           ibm_release,ibm_third_party,lite,migration_tools,rc_compatible,supports_syndication   
mobile-analytics-service_Prod-C168BB20-B5B5-437D-B4F2-5D2CD102360C   mobile-analytics-prod                                      IBM                                 gc_migrate,ibm,ibm_created,ibm_deprecated,lite,mobile   
0f8ae94c-7a2e-4a2d-8603-3ed12f890211                                 mobile-foundation                                          IBM                                 apidocs_enabled,eu_access,gc_migrate,ibm_created,ibm_deprecated,mobile   
680339d1-9b78-44d7-b41a-edd3e8dbeb68                                 monitoring                                                 IBM                                 apidocs_enabled,dev_ops,eu_access,ibm_created,lite   
8e8d12b7-cee7-4c35-90d7-582ffef56f5a                                 morningstar                                                Morningstar                         dev_ops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
01037c41-adce-4bb5-8b45-0c06004916c4                                 mqcloud                                                    MQ                                  ibm_created,ibm_release,integration,rc_compatible   
8e17eb6f-6e2a-4b33-95ef-83bffe0833f7                                 natural-language-classifier                                IBM                                 apidocs_enabled,gc_migrate,ibm_created,ibm_dedicated_public,ibm_release,rc_compatible,watson   
5932737c-e24b-4836-9e37-d8cead922316                                 natural-language-generation-apis                           Arria NLG                           dev_ops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
bb6393bc-7d81-446b-9728-61b704f6eca5                                 natural-language-understanding                             IBM                                 apidocs_enabled,eu_access,gc_migrate,hipaa,ibm_created,ibm_dedicated_public,lite,nlp,nlu,rc_compatible,watson   
cb72f520-1932-11eb-b970-abf2d7676e45                                 neuvector-container-security                               NeuVector                           ibm_third_party,rc_compatible,security,supports_syndication   
3f5debff-044f-4292-b387-9c9a50ba81fe                                 nexmo                                                      Nexmo, The Vonage API Platform      dev_ops,gc_migrate,ibm_dedicated_public,ibm_third_party   
dff97f5c-bc5e-4455-b470-411c3edbe49c                                 cloud-object-storage                                       IBM                                 apidocs_enabled,eu_access,financial services,fs cloud,fs_ready,fss,g2,hipaa,ibm_created,lite,lux,storage   
openshift                                                            openshift                                                  IBM                                 containers,eu_access,financial services,fs cloud,fs_ready,fss,hipaa,iam_compatible,ibm_created,satellite_enabled,service_endpoint_supported   
2d4c7a4d-2a2d-433f-a38d-9ebff43de337                                 pagerduty                                                  PagerDuty                           dev_ops,gc_migrate,ibm_dedicated_public,ibm_third_party   
9e0b569e-03d7-44e4-a68c-6f567689a260                                 payeezy                                                    First Data                          dev_ops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
d6d20106-cf62-4dcf-8dd9-d27ae0f36e55                                 personality-insights                                       IBM                                 apidocs_enabled,eu_access,gc_migrate,hipaa,ibm_created,ibm_dedicated_public,ibm_deprecated,ibm_release,lite,rc_compatible,watson   
2f2c407b-0a0d-4c57-8d8e-31bc7707d561                                 phunware-location-based-services                           Phunware                            dev_ops,gc_migrate,ibm_dedicated_public,ibm_third_party   
880fa4f0-62bc-48dc-8388-b4458f3f310c                                 phunware-mobile-marketing-automation                       Phunware                            gc_migrate,ibm_dedicated_public,ibm_third_party,mobile   
355f6faf-833f-4fcb-8ce9-f75c9954b2f0                                 plaid                                                      Plaid                               dev_ops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
51c53b72-918f-4869-b834-2d99eb28422a                                 pm-20                                                      IBM SPSS                            apidocs_enabled,hipaa,ibm_created,ibm_dedicated_public,ibm_release,rc_compatible,service_endpoint_supported,watson   
d666f360-66d1-11e9-85ef-a19427301a8c                                 portworx                                                   Portworx Inc                        big_data,data_management,dev_ops,ibm_release,ibm_third_party,internet_of_things,rc_compatible,storage,supports_syndication   
2b1ef1a9-d8be-4716-a482-4d56f5f8a668                                 power-ai                                                   Nimbix                              gc_migrate,iam_compatible,ibm_third_party,rc_compatible,supports_syndication,watson   
abd259f0-9990-11e8-acc8-b9f54a8f1661                                 power-iaas                                                 IBM                                 aix,apidocs_enabled,as400,compute,ibm i,ibm_created,linux,power,power infrastructure,rc_compatible,sap hana,virtualserver   
3702343d-a294-46e4-bfdd-6bdeb422a492                                 powerlytics-behavior-propensity-model-api                  Powerlytics, Inc.                   analytics,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
d846d490-ef88-44a1-822e-9d7f4d40a907                                 powerlytics-consumer-income-api                            Powerlytics, Inc.                   dev_ops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
43a3d18e-847e-4c27-807f-3b509613612b                                 powerlytics-investable-assets---wealth-api                 Powerlytics, Inc.                   dev_ops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
